Municipio,Area, Valor , Data , Semana ,Cli.Tratado,Pais,Venda
Paulínia,SUL / SP, R$ 1.122,48 ,17/01/2021,3ª Semana,NÃO TRATADO,Brasil,Efetivada
Araucária,SUL / SP, R$ 584,21 ,18/01/2021,4ª Semana,TRATADO,Brasil,Cancelada
Osasco,SUL / SP, R$ 1.929,32 ,19/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Salvador II,SUDESTE / NORDESTE, R$ 338,89 ,19/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
São José dos Campos,SUL / SP, R$ 892,88 ,19/01/2021,4ª Semana,TRATADO,Brasil,Efetivada
Jequié,SUDESTE / NORDESTE, R$ 2.264,13 ,20/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Goiânia,CENTRO OESTE, R$ 3.215,33 ,21/01/2021,4ª Semana,TRATADO,Brasil,Efetivada
Jequié,SUDESTE / NORDESTE, R$ 2.103,33 ,21/01/2021,4ª Semana,TRATADO,Brasil,Efetivada
Mauá,SUL / SP, R$ 1.339,70 ,21/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Natal,SUDESTE / NORDESTE, R$ 3.003,41 ,21/01/2021,4ª Semana,TRATADO,Brasil,Efetivada
Natal,SUDESTE / NORDESTE, R$ 700,00 ,21/01/2021,4ª Semana,NÃO TRATADO,Brasil,Cancelada
Osasco,SUL / SP, R$ 226,00 ,21/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Paulínia,SUL / SP, R$ 1.419,29 ,21/01/2021,4ª Semana,TRATADO,Brasil,Efetivada
Araucária,SUL / SP, R$ 1.604,08 ,22/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Campo Grande MS,CENTRO OESTE, R$ 588,56 ,22/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Caxias,SUDESTE / NORDESTE, R$ 1.106,50 ,22/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
